m,k,alpha,Euk,emp_mean,sqrtV,emp_std,std_ratio
20,50,0.5,17.62464835673835,17.63875,1.4113658711301182,1.2624374984528937,0.8944792589054363
20,50,1.0,15.082384615066823,15.09525,1.7679418826142845,1.5840383320803826,0.8959787353066376
20,100,0.5,19.616601978929225,19.61275,0.6087389657112976,0.6027333054510925,0.9901342601698124
20,100,1.0,18.208003115368566,18.216,1.2207034470203895,1.1529718123180634,0.9445142594889431
20,200,0.5,19.987165107304484,19.98675,0.11320031887014956,0.11434350659307242,1.0100988030275269
20,200,1.0,19.698120020936024,19.69825,0.5384839452827727,0.5326320845574363,0.9891327108698414
50,50,0.5,29.40671388435446,29.441,3.326922696953579,2.3365613623442463,0.7023191024197244
50,50,1.0,22.291154534108856,22.313,3.0782683518458684,2.445307956066066,0.7943777723601483
50,100,0.5,40.47512851585933,40.51025,2.6860507556101405,2.302258659990228,0.8571165884269624
50,100,1.0,31.766890580084734,31.7635,3.051067518387486,2.6644075795568516,0.8732706056157724
50,200,0.5,47.689997177573154,47.707,1.4637481785576887,1.3941488442773962,0.9524512923057076
50,200,1.0,41.07590358184391,41.0645,2.51901686115702,2.3767287918481568,0.9435144434708117
100,50,0.5,36.7512907757999,36.7855,4.6028009507466505,2.5836001528874393,0.5613104239209685
100,50,1.0,26.714775592938228,26.76225,3.8260007505132023,2.829792384168846,0.7396214921780322
100,100,0.5,57.937067367994175,57.99175,4.711543780734089,3.3431544890267935,0.7095666823042677
100,100,1.0,41.35305733586583,41.4085,4.289869942490967,3.513065292589934,0.8189211653698826
100,200,0.5,80.13571216576825,80.12875,3.854812302656666,3.3086513018902433,0.8583170961683352
100,200,1.0,59.75604145935327,59.77475,4.364686916779651,3.845388463796603,0.8810227485076533
