eps,sensitivity,n_with,n_without,mia_auc,mia_accuracy,theoretical_max_acc
0.01,1.0,50,49,0.49943812,0.4956,0.5024999791668749
0.05,1.0,50,49,0.5094672,0.506,0.5124973964842103
0.1,1.0,50,49,0.52196988,0.5169,0.52497918747894
0.5,1.0,50,49,0.619113,0.6103,0.6224593312018546
1.0,1.0,50,49,0.72362912,0.6957,0.7310585786300049
2.0,1.0,50,49,0.8656042,0.8159,0.8807970779778824
5.0,1.0,50,49,0.98827408,0.959,0.9933071490757152
0.01,1.0,500,499,0.49943812,0.4956,0.5024999791668749
0.05,1.0,500,499,0.5094672,0.506,0.5124973964842103
0.1,1.0,500,499,0.52196988,0.5169,0.52497918747894
0.5,1.0,500,499,0.619113,0.6103,0.6224593312018546
1.0,1.0,500,499,0.72362912,0.6957,0.7310585786300049
2.0,1.0,500,499,0.8656042,0.8159,0.8807970779778824
5.0,1.0,500,499,0.98827408,0.959,0.9933071490757152
0.01,1.0,5000,4999,0.49943812,0.4956,0.5024999791668749
0.05,1.0,5000,4999,0.5094672,0.506,0.5124973964842103
0.1,1.0,5000,4999,0.52196988,0.5169,0.52497918747894
0.5,1.0,5000,4999,0.619113,0.6103,0.6224593312018546
1.0,1.0,5000,4999,0.72362912,0.6957,0.7310585786300049
2.0,1.0,5000,4999,0.8656042,0.8159,0.8807970779778824
5.0,1.0,5000,4999,0.98827408,0.959,0.9933071490757152
