mode,consumed_eps,cache_hits,n_answered,mean_abs_error,p95_abs_error,mean_eps_per_query,wall_time_sec,alpha,trial,k,total_eps
naive_dp,9.99999999999998,0,100,10.02,32.0,0.09999999999999998,0.1398607000010088,0.0,0,100,10.0
workload_dp,0.7,93,100,2.02,6.0,0.006999999999999999,0.11154399998486042,0.0,0,100,10.0
predictive_dp,10.0,70,75,1.48,6.0,0.13333333333333333,0.09916280000470579,0.0,0,100,10.0
naive_dp,9.99999999999998,0,100,8.31,23.049999999999997,0.09999999999999998,0.12091970001347363,0.0,1,100,10.0
workload_dp,0.7,93,100,4.52,12.0,0.006999999999999999,0.09133980004116893,0.0,1,100,10.0
predictive_dp,10.0,76,81,3.691358024691358,12.0,0.12345679012345678,0.09814769995864481,0.0,1,100,10.0
naive_dp,9.99999999999998,0,100,9.67,26.049999999999997,0.09999999999999998,0.12476920010522008,0.0,2,100,10.0
workload_dp,0.7,93,100,17.65,41.0,0.006999999999999999,0.0899824999505654,0.0,2,100,10.0
predictive_dp,10.0,63,67,18.880597014925375,41.0,0.14925373134328357,0.09853529999963939,0.0,2,100,10.0
naive_dp,9.99999999999998,0,100,9.89,27.099999999999994,0.09999999999999998,0.12303729995619506,0.0,3,100,10.0
workload_dp,0.7,93,100,7.53,12.0,0.006999999999999999,0.09119180007837713,0.0,3,100,10.0
predictive_dp,10.0,61,66,6.090909090909091,12.0,0.1515151515151515,0.10170859994832426,0.0,3,100,10.0
naive_dp,9.99999999999998,0,100,11.68,31.049999999999997,0.09999999999999998,0.1226068000542,0.0,4,100,10.0
workload_dp,0.7,93,100,17.16,39.0,0.007000000000000001,0.09211190009955317,0.0,4,100,10.0
predictive_dp,10.0,86,92,16.869565217391305,39.0,0.10869565217391304,0.10278570000082254,0.0,4,100,10.0
naive_dp,9.99999999999998,0,100,9.53,26.099999999999994,0.09999999999999998,0.12240989995189011,0.0,5,100,10.0
workload_dp,0.7,93,100,10.16,32.0,0.006999999999999999,0.09014720004051924,0.0,5,100,10.0
predictive_dp,10.0,51,55,5.072727272727272,14.0,0.18181818181818182,0.09892809996381402,0.0,5,100,10.0
naive_dp,9.99999999999998,0,100,10.77,33.099999999999994,0.09999999999999998,0.12421140004880726,0.0,6,100,10.0
workload_dp,0.7,93,100,7.74,30.0,0.006999999999999999,0.09137360006570816,0.0,6,100,10.0
predictive_dp,10.0,73,78,4.9743589743589745,12.0,0.1282051282051282,0.10243630001787096,0.0,6,100,10.0
naive_dp,9.99999999999998,0,100,11.16,31.049999999999997,0.09999999999999998,0.122548499959521,0.0,7,100,10.0
workload_dp,0.7,93,100,8.89,40.0,0.007000000000000001,0.08925159997306764,0.0,7,100,10.0
predictive_dp,10.0,76,81,4.160493827160494,10.0,0.12345679012345678,0.10014440002851188,0.0,7,100,10.0
naive_dp,9.99999999999998,0,100,9.3,30.049999999999997,0.09999999999999998,0.12333039997611195,0.0,8,100,10.0
workload_dp,0.7,93,100,6.23,13.0,0.006999999999999999,0.09060780005529523,0.0,8,100,10.0
predictive_dp,10.0,57,61,5.065573770491803,10.0,0.16393442622950816,0.09814479993656278,0.0,8,100,10.0
naive_dp,9.99999999999998,0,100,8.11,27.049999999999997,0.09999999999999998,0.1207854999229312,0.0,9,100,10.0
workload_dp,0.7,93,100,5.44,11.0,0.007000000000000001,0.09393099998123944,0.0,9,100,10.0
predictive_dp,10.0,64,69,2.782608695652174,9.0,0.14492753623188406,0.09900909999851137,0.0,9,100,10.0
naive_dp,9.99999999999998,0,100,9.08,26.14999999999999,0.09999999999999998,0.12067960004787892,0.0,10,100,10.0
workload_dp,0.7,93,100,4.61,16.0,0.007000000000000001,0.09162619989365339,0.0,10,100,10.0
predictive_dp,10.0,84,90,3.3444444444444446,10.0,0.1111111111111111,0.09962809993885458,0.0,10,100,10.0
naive_dp,9.99999999999998,0,100,10.48,31.0,0.09999999999999998,0.1241988999536261,0.0,11,100,10.0
workload_dp,0.7,93,100,15.36,38.0,0.007000000000000001,0.088004200020805,0.0,11,100,10.0
predictive_dp,10.0,67,72,18.180555555555557,38.0,0.1388888888888889,0.09831269993446767,0.0,11,100,10.0
naive_dp,9.99999999999998,0,100,9.16,28.14999999999999,0.09999999999999998,0.12083199992775917,0.0,12,100,10.0
workload_dp,0.7,93,100,7.68,20.0,0.007000000000000001,0.09164540003985167,0.0,12,100,10.0
